,METER_DATE,temp_outdoor,temp_dew_point,temp_ground,humidity,rainfall,snowfall,snowfall_3hr,wind_speed,wind_direction,pressure_vapor,pressure_area,pressure_sea,sunshine,solar_radiation,cloud_total,cloud_midlow,visual_range
140,2024-01-06 20:00:00,-0.1,-0.8,-0.2,95.0,,1.7,,1.0,230,5.8,1017.7,1022.8,,,10.0,10.0,91
141,2024-01-06 21:00:00,0.0,-0.5,-0.1,96.0,0.6,2.0,2.0,1.0,230,5.9,1017.5,1022.6,,,9.0,9.0,1117
142,2024-01-06 22:00:00,-0.1,-0.5,0.0,97.0,,2.0,,0.6,290,5.9,1017.7,1022.8,,,7.0,7.0,735
143,2024-01-06 23:00:00,-1.0,-1.9,-0.3,93.0,,2.0,,1.7,320,5.3,1018.2,1023.3,,,5.0,3.0,1326
144,2024-01-07 00:00:00,-1.2,-2.7,-0.3,89.0,0.0,2.0,0.0,2.3,320,5.0,1018.7,1023.8,,,1.0,1.0,1546
145,2024-01-07 01:00:00,-2.0,-4.3,-0.3,84.0,,2.0,,1.8,320,4.4,1018.9,1024.0,,,0.0,0.0,1439
146,2024-01-07 02:00:00,-2.8,-5.7,-0.7,80.0,,2.0,,2.3,320,4.0,1019.0,1024.1,,,0.0,0.0,2059
147,2024-01-07 03:00:00,-3.3,-6.4,-1.1,79.0,,2.0,,1.4,320,3.8,1019.4,1024.5,,,0.0,0.0,2146
148,2024-01-07 04:00:00,-4.0,-6.7,-1.3,81.0,,2.0,,1.6,320,3.7,1019.6,1024.7,,,2.0,2.0,2111
149,2024-01-07 05:00:00,-4.4,-6.8,-1.7,83.0,,2.0,,1.0,250,3.7,1019.6,1024.8,,,0.0,0.0,1763
150,2024-01-07 06:00:00,-5.1,-6.9,-2.1,87.0,,2.0,,0.7,320,3.6,1020.0,1025.2,,,0.0,0.0,1555
151,2024-01-07 07:00:00,-3.9,-9.5,-2.1,65.0,,2.0,,3.5,320,3.0,1020.9,1026.1,,,0.0,0.0,2300
152,2024-01-07 08:00:00,-4.3,-12.0,-2.2,55.0,,1.8,,2.7,320,2.4,1021.7,1026.9,0.0,0.0,0.0,0.0,3636
153,2024-01-07 09:00:00,-3.4,-13.1,-1.4,47.0,,1.8,,3.6,290,2.2,1022.6,1027.8,0.9,0.35,0.0,0.0,4586
154,2024-01-07 10:00:00,-2.9,-14.6,-1.2,40.0,,1.7,,4.9,290,2.0,1023.0,1028.1,1.0,0.86,0.0,0.0,4907
155,2024-01-07 11:00:00,-2.5,-13.3,-0.2,43.0,,1.4,,4.5,290,2.2,1023.0,1028.1,1.0,1.39,0.0,0.0,5000
156,2024-01-07 12:00:00,-2.0,-12.9,3.3,43.0,,0.8,,4.7,320,2.3,1022.7,1027.8,1.0,1.76,0.0,0.0,5000
157,2024-01-07 13:00:00,-1.1,-11.5,5.8,45.0,,0.4,,5.0,290,2.5,1022.0,1027.1,1.0,1.86,0.0,0.0,4940
158,2024-01-07 14:00:00,-1.8,-13.3,5.9,41.0,,,,5.8,270,2.2,1021.8,1026.9,1.0,1.88,1.0,1.0,5000
159,2024-01-07 15:00:00,-1.7,-13.2,5.1,41.0,,,,5.5,290,2.2,1021.9,1027.0,1.0,1.56,0.0,0.0,5000
160,2024-01-07 16:00:00,-2.0,-13.2,-1.1,42.0,,,,5.6,290,2.2,1022.0,1027.1,1.0,1.09,0.0,0.0,5000
161,2024-01-07 17:00:00,-2.6,-13.4,-2.7,43.0,,,,3.8,290,2.2,1022.4,1027.5,1.0,0.48,0.0,0.0,5000
162,2024-01-07 18:00:00,-3.8,-15.1,-4.4,41.0,,,,3.8,290,1.9,1022.9,1028.1,0.3,0.04,0.0,0.0,5000
163,2024-01-07 19:00:00,-4.4,-16.0,-5.1,40.0,,,,3.5,290,1.8,1023.1,1028.3,,,0.0,0.0,5000
